;LUNDI;MARDI;MERCREDI;JEUDI;VENDREDI;SAMEDI;DIMANCHE;;;
00h00;0;0;0;0;0;0;0;;;
1H00;0;0;0;0;0;0;0;;;
2H00;0;0;0;0;0;0;0;;;
3H00;0;0;0;0;0;0;0;;;
4H;3;3;3;3;3;3;3;;;
5H;3;3;3;3;3;3;3;;;
6H;4;4;4;4;4;4;4;;;
7H;4;4;4;4;4;4;4;;;
8H;4;4;4;4;4;6;6;;;
9H;4;4;6;6;6;6;6;;;
10H;4;4;6;6;6;6;6;;;
11H;4;4;6;6;6;6;6;;;
12H;0;0;3;3;3;3;3;;;
13H;0;0;3;3;3;3;3;;;
14H;0;0;2;2;2;2;2;;;
15H;0;0;2;2;2;2;2;;;
16H;0;0;0;0;0;0;0;;;
17H;0;0;0;0;0;0;0;;;
18H;0;0;0;0;0;0;0;;;
19H;0;0;0;0;0;0;0;;;
20h;0;0;0;0;0;0;0;;;
21h;0;0;0;0;0;0;0;;;
22h;0;0;0;0;0;0;0;;;
23h;0;0;0;0;0;0;0;;;
